YOB,NKID,DEP,PHON,SINC,DAINC,DHVAL,DMORT,DOUTM,DOUTL,DOUTHP,DOUTCC,BAD,AES0,AES1,AES2,AES3,AES4,AES5,AES6,AES7,AES8,AES9,AES10,RES0,RES1,RES2,RES3,RES4
63.0,0.0,0.0,1,0.0,26400.0,0.0,0.0,320.0,316.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59.0,1.0,0.0,1,2000.0,48000.0,36928.0,50464.0,776.0,276.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
65.0,0.0,0.0,0,0.0,9000.0,36000.0,20000.0,220.0,112.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
44.0,2.0,0.0,1,0.0,42000.0,28928.0,22000.0,108.0,56.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
64.0,0.0,0.0,1,0.0,21357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
66.0,0.0,0.0,1,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
45.0,0.0,0.0,1,30000.0,0.0,21248.0,14464.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
68.0,0.0,0.0,1,0.0,6189.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
54.0,2.0,0.0,1,0.0,55068.0,43392.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45.0,4.0,0.0,1,0.0,42000.0,28928.0,34464.0,988.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13.0,0.0,0.0,0,850.0,37500.0,0.0,0.0,520.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
58.0,0.0,0.0,1,0.0,40500.0,26464.0,64000.0,520.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
66.0,0.0,0.0,1,0.0,21750.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
59.0,1.0,0.0,1,16000.0,15000.0,24928.0,54464.0,960.0,180.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
68.0,0.0,0.0,1,0.0,0.0,48928.0,6464.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
99.0,0.0,0.0,1,0.0,0.0,34464.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45.0,4.0,0.0,1,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31.0,0.0,0.0,1,0.0,34170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54.0,0.0,0.0,1,0.0,23646.0,4928.0,4.0,0.0,380.0,0.0,32.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
57.0,0.0,0.0,1,0.0,18765.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28.0,0.0,0.0,1,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
57.0,3.0,0.0,1,2928.0,8784.0,0.0,0.0,400.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55.0,3.0,0.0,1,4000.0,60000.0,57856.0,56928.0,2000.0,0.0,0.0,600.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
68.0,0.0,0.0,0,0.0,13800.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
67.0,0.0,0.0,1,0.0,18000.0,0.0,0.0,400.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19.0,0.0,0.0,1,0.0,12000.0,30464.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57.0,0.0,0.0,1,0.0,52500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35.0,0.0,0.0,1,0.0,34500.0,3392.0,36000.0,288.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66.0,0.0,0.0,1,0.0,1620.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46.0,2.0,0.0,1,1960.0,39750.0,12464.0,29200.0,304.0,80.0,0.0,80.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
59.0,0.0,0.0,1,7195.0,19728.0,40464.0,56000.0,292.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
60.0,0.0,0.0,1,0.0,22200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
63.0,0.0,0.0,1,0.0,12825.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
66.0,0.0,0.0,1,0.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60.0,1.0,0.0,1,0.0,36012.0,62464.0,40464.0,1000.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
59.0,1.0,0.0,1,0.0,36000.0,58464.0,26464.0,1160.0,640.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
62.0,0.0,0.0,1,0.0,18000.0,0.0,0.0,572.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
49.0,0.0,0.0,1,0.0,43800.0,12928.0,22464.0,760.0,240.0,0.0,100.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
61.0,0.0,0.0,0,0.0,30510.0,0.0,0.0,384.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52.0,0.0,0.0,1,2000.0,60000.0,63392.0,43392.0,2280.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50.0,2.0,0.0,1,0.0,59931.0,11392.0,54464.0,880.0,576.0,0.0,64.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
67.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
61.0,0.0,0.0,0,0.0,30300.0,0.0,0.0,0.0,0.0,80.0,60.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
61.0,0.0,0.0,1,0.0,21474.0,0.0,0.0,0.0,0.0,0.0,640.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37.0,0.0,0.0,1,7500.0,3000.0,8928.0,4.0,0.0,0.0,0.0,20.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
64.0,0.0,0.0,1,0.0,18000.0,0.0,0.0,480.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15.0,0.0,0.0,1,0.0,15300.0,42464.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
38.0,0.0,0.0,1,3000.0,22500.0,28928.0,12000.0,224.0,0.0,0.0,100.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68.0,0.0,0.0,1,0.0,5862.0,0.0,0.0,160.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
56.0,3.0,0.0,1,9000.0,15000.0,0.0,0.0,448.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24.0,0.0,0.0,1,0.0,23445.0,4928.0,4.0,0.0,0.0,0.0,120.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
45.0,1.0,0.0,1,0.0,29769.0,0.0,0.0,408.0,0.0,0.0,40.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
57.0,0.0,0.0,1,0.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52.0,2.0,1.0,1,0.0,45000.0,54464.0,14464.0,684.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62.0,0.0,0.0,1,0.0,60464.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
43.0,0.0,0.0,1,9500.0,23400.0,34464.0,60000.0,488.0,200.0,0.0,100.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39.0,3.0,0.0,1,3600.0,36000.0,8928.0,0.0,380.0,152.0,0.0,32.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63.0,0.0,0.0,1,0.0,33000.0,0.0,0.0,356.0,424.0,0.0,200.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
53.0,0.0,0.0,1,5000.0,36000.0,26464.0,51200.0,440.0,380.0,0.0,60.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
64.0,0.0,0.0,1,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35.0,0.0,0.0,1,0.0,23100.0,0.0,0.0,340.0,0.0,0.0,100.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
61.0,0.0,0.0,1,0.0,19500.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33.0,1.0,0.0,1,1750.0,24464.0,57856.0,36000.0,600.0,0.0,0.0,80.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
49.0,1.0,0.0,1,3500.0,34200.0,62464.0,41664.0,752.0,0.0,64.0,160.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
53.0,2.0,0.0,1,0.0,39464.0,6784.0,28928.0,2000.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55.0,0.0,0.0,1,0.0,40500.0,23392.0,48464.0,1040.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
57.0,0.0,0.0,1,0.0,28500.0,4928.0,14052.0,672.0,436.0,0.0,128.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
39.0,5.0,0.0,1,0.0,0.0,48928.0,40000.0,612.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62.0,0.0,0.0,1,0.0,20907.0,0.0,0.0,400.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36.0,3.0,0.0,1,0.0,57000.0,23392.0,24000.0,340.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
61.0,0.0,0.0,1,0.0,25500.0,0.0,0.0,0.0,668.0,0.0,80.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
43.0,2.0,0.0,1,1500.0,42000.0,48928.0,48000.0,440.0,140.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21.0,0.0,0.0,1,0.0,24000.0,43392.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
66.0,0.0,0.0,1,0.0,2961.0,0.0,0.0,300.0,0.0,0.0,80.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
68.0,0.0,0.0,1,0.0,14625.0,0.0,0.0,160.0,272.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25.0,2.0,0.0,1,0.0,18928.0,10176.0,2464.0,1520.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
58.0,0.0,0.0,1,0.0,18000.0,0.0,0.0,400.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
37.0,1.0,0.0,1,15000.0,10500.0,48928.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62.0,0.0,0.0,1,0.0,28200.0,6464.0,58000.0,488.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
57.0,1.0,1.0,1,4800.0,58500.0,60928.0,46928.0,1840.0,436.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
47.0,2.0,0.0,1,2500.0,24000.0,64464.0,52000.0,520.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58.0,2.0,0.0,1,1500.0,24000.0,23392.0,10464.0,676.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52.0,2.0,0.0,1,2500.0,32403.0,4928.0,8464.0,536.0,104.0,0.0,100.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
42.0,0.0,0.0,1,0.0,30000.0,45664.0,34464.0,760.0,800.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
66.0,0.0,0.0,1,0.0,18000.0,64000.0,0.0,416.0,192.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
39.0,0.0,0.0,1,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17.0,0.0,0.0,1,0.0,16200.0,0.0,0.0,160.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
60.0,0.0,0.0,0,0.0,24300.0,62000.0,60000.0,440.0,156.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
65.0,0.0,0.0,1,0.0,45000.0,0.0,0.0,200.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58.0,0.0,0.0,1,0.0,30900.0,0.0,0.0,280.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,0.0,0.0,1,0.0,9464.0,17856.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48.0,3.0,0.0,1,0.0,41400.0,6464.0,36000.0,352.0,320.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45.0,2.0,0.0,1,6250.0,41256.0,60928.0,56464.0,1292.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54.0,2.0,0.0,1,0.0,31500.0,54464.0,0.0,912.0,88.0,0.0,200.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
62.0,1.0,0.0,1,0.0,33000.0,14464.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42.0,2.0,0.0,1,6000.0,27000.0,63392.0,20000.0,460.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
48.0,2.0,0.0,1,1800.0,51000.0,43392.0,14464.0,800.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46.0,2.0,1.0,1,0.0,15464.0,15712.0,28928.0,520.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63.0,0.0,0.0,1,0.0,18750.0,464.0,0.0,600.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63.0,0.0,0.0,1,0.0,24000.0,0.0,0.0,0.0,428.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65.0,0.0,0.0,1,4000.0,17700.0,2464.0,64000.0,500.0,200.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
61.0,0.0,0.0,0,0.0,16500.0,0.0,0.0,400.0,80.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
59.0,0.0,0.0,1,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
61.0,0.0,0.0,1,0.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62.0,0.0,0.0,1,0.0,13800.0,27392.0,4928.0,400.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
34.0,1.0,1.0,1,0.0,9464.0,17856.0,16000.0,552.0,0.0,0.0,400.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59.0,0.0,0.0,1,6000.0,30900.0,62464.0,0.0,0.0,1400.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64.0,0.0,0.0,1,0.0,18300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44.0,2.0,0.0,1,0.0,15464.0,59392.0,54464.0,2240.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
61.0,0.0,0.0,1,0.0,33000.0,0.0,0.0,100.0,500.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13.0,0.0,0.0,1,0.0,45000.0,6784.0,4.0,0.0,0.0,0.0,400.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
29.0,1.0,0.0,1,0.0,36000.0,23392.0,38464.0,1048.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55.0,2.0,0.0,1,0.0,48928.0,41248.0,48928.0,1960.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44.0,0.0,0.0,0,0.0,30900.0,58928.0,54464.0,840.0,440.0,0.0,80.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
47.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65.0,0.0,0.0,1,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26.0,0.0,0.0,1,0.0,15600.0,18464.0,28000.0,240.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
47.0,0.0,0.0,1,0.0,22500.0,23392.0,30464.0,888.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40.0,1.0,0.0,1,14500.0,57000.0,12320.0,12464.0,680.0,0.0,0.0,80.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
36.0,0.0,0.0,1,0.0,16947.0,0.0,0.0,0.0,0.0,464.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
63.0,0.0,0.0,1,5200.0,11700.0,22464.0,0.0,540.0,264.0,100.0,160.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26.0,0.0,0.0,1,0.0,17400.0,22464.0,4.0,0.0,0.0,464.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37.0,1.0,0.0,1,0.0,51000.0,36928.0,8864.0,712.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35.0,0.0,0.0,1,0.0,21000.0,34464.0,0.0,240.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
64.0,0.0,0.0,1,0.0,18252.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
64.0,0.0,0.0,1,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
56.0,1.0,0.0,1,8050.0,43500.0,8928.0,62464.0,1168.0,0.0,56.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
56.0,0.0,0.0,1,11300.0,24000.0,48928.0,58464.0,880.0,304.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
