,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
46,1,3000,47000.0,82700.0,2,2,10.0,0.0,1.0,262.16666667,5.0,26.0,33.779915348721225
47,1,3000,34542.0,45900.0,2,5,8.5,0.0,2.0,62.366666667,0.0,10.0,33.779915348721225
48,0,3000,58000.0,71500.0,2,5,10.0,0.2545696877380046,2.0,211.93333333,0.0,25.0,33.779915348721225
49,0,3000,47000.0,56400.0,2,4,21.0,0.0,0.0,201.86666667,0.0,20.0,33.779915348721225
50,1,3100,39589.0,36100.0,2,6,1.5,0.0,0.0,153.16666667,1.0,14.0,33.779915348721225
51,0,3100,73760.81719955898,70400.0,0,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
52,0,3200,67848.0,74566.0,2,5,10.0,0.2545696877380046,1.0,206.42660206,0.0,25.0,40.115677278
53,1,3200,48603.0,61000.0,2,2,28.0,0.0,4.0,122.03333333,1.0,25.0,33.779915348721225
54,1,3200,27200.0,40834.0,2,6,8.922268135904508,0.0,0.0,298.13156403,0.0,7.0,35.553538789
55,1,3200,54000.0,64850.0,2,6,1.0,0.0,0.0,121.86666667,3.0,21.0,33.779915348721225
56,0,3200,74864.0,87266.0,2,2,7.0,0.0,0.0,250.63126922,0.0,12.0,42.909997351
57,1,3200,23159.0,,2,5,20.0,0.2545696877380046,2.0,117.80574784,0.0,9.0,0.5244992154
58,1,3300,126541.0,134527.0,2,1,9.0,1.0,0.0,139.0,0.0,36.0,33.779915348721225
59,1,3300,130518.0,164317.0,1,6,9.0,0.0,6.0,192.28914897,0.0,33.0,35.73055919
60,1,3400,37000.0,52000.0,2,4,2.0,0.0,1.0,183.29991561,0.0,6.0,33.779915348721225
61,1,3500,23200.0,38666.0,2,6,11.0,0.0,0.0,162.36666667,0.0,14.0,33.779915348721225
62,1,3500,19400.0,20494.0,2,6,5.0,0.0,0.0,95.933333333,0.0,9.0,33.779915348721225
63,1,3600,61584.0,61800.0,2,2,10.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
64,1,3600,41900.0,52490.0,2,5,3.0,0.0,0.0,72.033333333,2.0,4.0,33.779915348721225
65,0,3600,83700.0,111800.0,2,2,6.0,0.0,0.0,192.73333333,1.0,28.0,33.779915348721225
66,0,3600,61327.0,76484.0,2,5,9.0,0.2545696877380046,2.0,202.51077515,0.0,25.0,41.516389699
67,0,3600,100693.0,114743.0,2,4,6.0,0.0,0.0,88.470452135,0.0,14.0,29.393543382
68,1,3600,48507.0,61000.0,1,4,13.0,1.0,4.0,97.4,0.0,17.0,33.779915348721225
69,0,3600,52337.0,63989.0,2,4,20.0,0.0,0.0,204.27249884,0.0,20.0,20.470915508
70,1,3700,17857.0,21144.0,2,6,5.0,0.0,0.0,129.71732313,1.0,9.0,26.634347518
71,1,3800,19135.0,97692.0,2,5,1.6,1.0,6.0,252.63333333,1.0,25.0,33.779915348721225
72,0,3800,51180.0,63459.0,2,4,20.0,0.0,0.0,203.75153358,0.0,20.0,20.067042051
73,0,3800,73760.81719955898,73189.0,0,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,22.253949156
74,0,3800,11543.0,46045.0,2,3,8.922268135904508,0.0,0.0,204.64799167,0.0,11.0,42.173165882
75,1,3900,29896.0,45960.0,2,6,11.0,0.0,0.0,146.12324219,0.0,14.0,24.478881191
76,1,3900,14500.0,22092.0,2,6,3.5,0.0,1.0,150.3,5.0,8.0,33.779915348721225
77,0,3900,52825.0,63000.0,1,2,8.0,0.0,4.0,171.66666667,1.0,31.0,33.779915348721225
78,0,3900,102143.0,118742.0,2,4,2.0,0.0,0.0,85.277365579,0.0,13.0,29.343921089
79,1,3900,21200.0,39000.0,1,5,4.0,0.0,1.0,86.566666667,2.0,14.0,33.779915348721225
80,0,4000,105164.0,112774.0,2,4,1.0,0.0,0.0,94.724874167,0.0,13.0,29.390928055
81,0,4000,54543.0,61777.0,2,4,21.0,0.0,0.0,205.58668003,0.0,19.0,21.806563464
82,1,4000,73760.81719955898,80609.0,2,6,1.5,0.0,2.0,126.53333333,3.0,12.0,33.779915348721225
83,1,4000,26572.0,31960.0,2,4,11.0,0.0,0.0,117.79510387,0.0,8.0,41.286491948
84,1,4000,17000.0,52012.0,2,2,22.0,3.0,1.0,85.333333333,1.0,9.0,33.779915348721225
85,1,4000,29562.0,37200.0,1,6,6.0,0.0,0.0,92.133333333,1.0,26.0,33.779915348721225
86,1,4000,41700.0,76725.0,2,6,0.5,0.0,3.0,136.13333333,0.0,15.0,33.779915348721225
87,1,4000,58000.0,69440.0,2,6,3.5,0.0,1.0,168.66666667,0.0,18.0,33.779915348721225
88,1,4000,5700.0,18000.0,1,6,8.922268135904508,0.0,0.0,12.2,0.0,17.0,33.779915348721225
89,1,4000,45000.0,58350.0,2,5,3.5,0.0,0.0,162.0,3.0,16.0,33.779915348721225
90,1,4000,7000.0,16020.0,2,6,18.0,0.0,1.0,85.8,2.0,23.0,33.779915348721225
91,0,4000,66000.0,79050.0,2,6,1.8,2.0,0.0,279.0,1.0,6.0,33.779915348721225
92,0,4000,73760.81719955898,45760.0,2,0,0.0,0.0,0.0,179.76627518656667,0.0,0.0,33.779915348721225
93,0,4000,62000.0,78000.0,2,6,4.0,0.0,0.0,109.56666667,0.0,15.0,33.779915348721225
94,0,4000,64240.0,63990.0,2,1,5.0,2.0,0.0,160.3,1.0,23.0,33.779915348721225
95,1,4000,74000.0,93000.0,2,2,2.6,1.0,3.0,186.63333333,1.1860550458715597,9.0,33.779915348721225
96,1,4000,55000.0,59000.0,1,6,12.0,2.0,0.0,146.1,0.0,22.0,33.779915348721225
97,0,4000,67625.0,80698.0,2,5,11.0,0.2545696877380046,1.0,212.34930388,0.0,25.0,39.128717628
98,0,4000,67533.0,71865.0,2,5,10.0,0.2545696877380046,2.0,227.79298841,0.0,25.0,39.166328703
99,1,4100,73760.81719955898,19132.0,2,6,0.0,0.0,0.0,100.77465221,0.0,19.0,33.840919904
100,1,4100,58500.0,65000.0,2,6,8.0,1.0,2.0,63.933333333,2.0,15.0,33.779915348721225
101,0,4100,57992.0,63797.0,1,2,7.0,0.0,4.0,165.50503695,1.0,31.0,22.27817437
102,0,4200,56544.0,59218.0,2,4,19.0,0.0,0.0,211.00259912,1.0,20.0,19.027704425
103,1,4200,34800.0,50225.0,2,6,2.0,1.0,0.0,93.5,1.0,5.0,33.779915348721225
104,0,4200,67700.0,77000.0,1,1,4.0,0.0,0.0,128.83333333,0.0,31.0,33.779915348721225
105,0,4200,44000.0,55085.0,1,0,6.0,0.2545696877380046,1.0,75.433333333,1.1860550458715597,16.0,33.779915348721225
106,0,4200,66272.0,82953.0,2,6,3.0,0.0,0.0,110.27866259,0.0,15.0,43.450587911
107,0,4200,50216.0,58541.0,2,4,19.0,0.0,0.0,209.87130224,0.0,19.0,20.20803267
108,0,4300,71206.0,78698.0,1,1,3.0,0.0,0.0,129.93286902,0.0,31.0,34.181376516
109,0,4300,68815.0,79852.0,2,6,6.0,0.0,0.0,105.12070881,0.0,14.0,41.806376152
110,0,4300,72021.0,80027.0,2,6,2.0,2.0,0.0,263.97030029,0.0,5.0,36.432093937
111,0,4400,53969.0,63869.0,1,2,7.0,0.0,3.0,162.39001067,0.0,30.0,23.581079239
112,0,4400,73760.81719955898,60250.0,0,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
113,1,4400,53091.0,64074.0,1,4,14.0,1.0,3.0,89.86105825,0.0,17.0,39.158084834
114,0,4500,66127.0,79087.0,2,6,4.0,1.0,0.0,81.349065098,0.0,15.0,40.70530876
115,0,4500,73760.81719955898,77182.0,0,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,25.227252904
116,1,4500,39000.0,66000.0,2,6,1.0,0.0,0.0,170.36666667,1.0,19.0,33.779915348721225
117,0,4500,71082.0,79247.0,2,6,4.0,0.0,0.0,118.76041007,0.0,14.0,41.421110521
118,0,4500,73760.81719955898,49044.0,2,0,0.0,0.0,0.0,179.76627518656667,0.0,0.0,11.652738796
119,1,4500,57000.0,,2,6,5.0,0.2545696877380046,0.4494423791821561,222.6,1.0,13.0,33.779915348721225
120,1,4500,34184.0,46000.0,2,5,3.5,0.0,1.0,122.6,2.0,22.0,33.779915348721225
121,1,4500,66517.0,87000.0,1,2,10.0,0.0,4.0,125.8,0.0,34.0,33.779915348721225
122,0,4500,45500.0,50000.0,2,6,6.0,0.0,0.0,86.166666667,0.0,18.0,33.779915348721225
123,1,4500,118000.0,146870.0,2,2,4.5,2.0,0.0,203.86666667,1.0,20.0,33.779915348721225
124,1,4500,90000.0,105800.0,2,6,6.0,2.0,3.0,80.1,3.0,10.0,33.779915348721225
125,0,4700,67913.0,97205.0,0,5,2.0,0.0,0.0,142.82439151,0.0,24.0,35.226997192
126,0,4700,71855.0,88566.0,2,6,2.0,2.0,0.0,283.95953809,0.0,5.0,36.475473283
127,0,4700,53918.0,59511.0,1,0,6.0,0.2545696877380046,0.0,54.13647743,1.1860550458715597,15.0,34.416507811
128,1,4700,49100.0,58238.0,2,2,0.1,0.0,0.0,61.8,2.0,17.0,33.779915348721225
129,0,4700,88026.0,115506.0,2,2,6.0,0.0,0.0,182.24833156,0.0,27.0,29.20902258
130,1,4700,26900.0,45000.0,2,2,9.0,1.0,2.0,90.466666667,1.0,16.0,33.779915348721225
131,0,4800,67317.0,97191.0,0,5,3.0,0.0,0.0,137.31972481,0.0,23.0,34.275293777
132,0,4800,56067.0,63102.0,1,2,9.0,0.0,3.0,160.14631128,1.0,30.0,21.583760121
133,0,4800,80482.0,88342.0,2,2,7.0,0.0,0.0,275.03239483,0.0,11.0,43.717635112
134,0,4900,58688.0,63348.0,1,2,9.0,0.0,3.0,179.16257471,2.0,31.0,22.544392837
135,0,4900,65873.0,90408.0,0,5,2.0,0.0,0.0,141.85899895,0.0,23.0,37.76961861
136,1,4900,25597.0,23031.0,2,6,5.0,0.0,0.0,101.74676644,0.0,8.0,33.243156978
137,0,4900,67794.0,84630.0,2,6,4.0,0.0,0.0,112.57341888,0.0,15.0,41.673996362
138,1,4900,44000.0,59745.0,2,6,10.0,0.0,0.0,81.5,3.0,13.0,33.779915348721225
139,0,4900,73760.81719955898,28437.5,2,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
140,0,4900,170986.0,245300.0,1,1,8.922268135904508,0.0,0.0,131.93333333,0.0,22.0,33.779915348721225
141,1,4900,65576.0,65774.0,2,6,6.0,1.0,2.0,61.64250608,1.0,14.0,40.590910018
142,0,4900,57461.0,68494.0,1,2,8.0,0.0,4.0,183.63561323,0.0,30.0,22.795423552
143,0,4900,73760.81719955898,69706.0,0,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.705587738
144,0,5000,73760.81719955898,34846.0,2,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.354652626
145,0,5000,47479.0,61690.0,1,0,5.0,0.2545696877380046,0.0,65.032969007,1.1860550458715597,16.0,36.699414922
146,0,5000,66839.0,87168.0,2,6,4.0,0.0,0.0,122.59722258,0.0,15.0,40.616779346
147,0,5000,12457.0,53448.0,2,3,8.922268135904508,0.0,0.0,207.14348133,0.0,12.0,44.107951691
148,0,5000,90059.0,113714.0,2,2,7.0,0.0,0.0,193.63644686,0.0,28.0,25.897316482
149,1,5000,22320.0,34900.0,2,6,10.0,0.0,0.0,65.7,1.0,5.0,33.779915348721225
150,1,5000,40000.0,70500.0,2,5,0.4,0.0,0.0,61.766666667,2.0,8.0,33.779915348721225
151,1,5000,100882.0,102700.0,2,5,5.0,0.0,1.0,58.866666667,0.0,16.0,33.779915348721225
152,1,5000,31000.0,47350.0,2,2,12.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
153,1,5000,63125.0,126500.0,2,4,3.0,0.0,0.0,100.3,0.0,14.0,33.779915348721225
154,1,5000,100000.0,129693.5,2,5,13.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
155,1,5000,73760.81719955898,132000.0,2,6,17.5,0.0,2.0,121.9,0.0,14.0,33.779915348721225
156,1,5000,73760.81719955898,9100.0,2,6,1.0,0.0,0.0,54.733333333,2.0,8.0,33.779915348721225
157,1,5000,34200.0,50830.0,2,6,6.0,0.0,0.0,57.0,1.0,9.0,33.779915348721225
158,1,5000,73760.81719955898,71277.0,2,6,10.0,0.0,0.0,72.433333333,1.0,12.0,33.779915348721225
159,1,5000,123000.0,157500.0,2,5,9.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
160,1,5000,16600.0,25250.0,2,6,6.0,0.0,0.0,88.7,1.0,3.0,33.779915348721225
161,1,5000,73760.81719955898,52000.0,2,6,8.922268135904508,0.0,1.0,285.33333333,0.0,6.0,33.779915348721225
162,1,5000,22700.0,34225.0,2,6,4.0,0.0,0.0,74.633333333,3.0,9.0,33.779915348721225
163,1,5000,6000.0,38575.0,2,3,7.0,0.0,1.0,335.03333333,3.0,42.0,33.779915348721225
164,1,5000,73760.81719955898,74500.0,2,6,19.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
165,1,5000,73760.81719955898,94119.0,2,6,19.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
166,0,5000,73126.0,87500.0,1,6,1.0,0.0,0.0,125.96666667,2.0,10.0,33.779915348721225
167,0,5000,72517.0,86250.0,1,5,19.0,0.0,1.0,300.36666667,1.0,24.0,33.779915348721225
168,0,5000,26037.0,35000.0,2,2,12.0,0.0,0.0,182.63333333,0.0,13.0,33.779915348721225
169,0,5000,39000.0,50340.0,2,4,10.0,0.2545696877380046,0.4494423791821561,179.83333333,1.1860550458715597,19.0,33.779915348721225
170,0,5000,73760.81719955898,26550.0,1,6,1.7,0.0,0.0,276.96666667,1.0,14.0,33.779915348721225
171,0,5000,70470.0,77908.0,1,0,5.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
172,0,5000,73760.81719955898,36375.0,2,6,3.0,0.0,0.0,266.8,1.0,26.0,33.779915348721225
173,0,5000,74225.0,89640.0,1,2,0.3,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,33.779915348721225
174,0,5000,73760.81719955898,65400.0,2,4,1.5,0.0,0.0,51.766666667,0.0,4.0,33.779915348721225
175,1,5000,73760.81719955898,37500.0,2,6,8.922268135904508,0.0,3.0,107.13333333,10.0,5.0,33.779915348721225
176,0,5000,78565.0,98500.0,1,2,24.0,0.0,0.0,51.766666667,3.0,14.0,33.779915348721225
177,0,5000,59900.0,80800.0,1,2,15.0,0.0,0.0,219.13333333,1.0,18.0,33.779915348721225
178,1,5000,10171.0,26809.0,2,4,13.0,3.0,6.0,228.3,0.0,24.0,33.779915348721225
179,1,5000,78893.0,82600.0,2,5,16.0,0.0,0.0,133.9,1.0,34.0,33.779915348721225
180,1,5000,85165.0,107940.0,2,5,6.0,5.0,3.0,122.76666667,5.0,28.0,33.779915348721225
181,1,5000,68000.0,75616.0,1,2,0.1,0.0,0.0,131.86666667,0.0,30.0,33.779915348721225
182,1,5000,71571.0,85100.0,1,2,1.4,0.0,1.0,82.133333333,0.0,13.0,33.779915348721225
183,1,5000,28000.0,36810.0,1,6,2.0,1.0,0.0,222.2,1.0,6.0,33.779915348721225
184,1,5000,40000.0,32480.0,2,6,8.0,3.0,2.0,163.36666667,1.0,16.0,33.779915348721225
185,1,5000,81748.0,,1,2,14.0,1.0,2.0,144.06666667,2.0,17.0,33.779915348721225
186,0,5000,44674.0,59375.0,2,4,10.0,0.2545696877380046,0.4494423791821561,178.6925087,1.1860550458715597,19.0,26.448197463
187,1,5000,61999.0,75021.3,2,6,5.0,0.0,0.0,97.1,0.0,23.0,33.779915348721225
188,0,5000,80153.0,97275.0,1,6,1.0,0.0,0.0,120.67506316,2.0,10.0,37.512708409
189,0,5000,68739.0,93435.0,0,5,3.0,0.0,0.0,148.72040469,0.0,23.0,36.669278612
190,0,5000,51209.0,55320.0,1,0,5.0,0.2545696877380046,1.0,69.107465597,1.1860550458715597,15.0,35.025072968
191,1,5000,46696.0,85202.0,2,6,2.0,1.0,2.0,148.34064549,0.0,14.0,46.489874001
192,0,5000,73760.81719955898,46281.0,2,6,2.0,0.0,0.0,257.6522064,0.0,26.0,40.952588884
193,0,5000,66435.0,82819.0,2,6,2.0,0.0,0.0,125.13062556,0.0,14.0,42.183538672
194,0,5100,179725.0,251962.0,1,1,8.922268135904508,0.0,0.0,127.49881344,0.0,22.0,40.308259362
195,0,5100,85583.0,115341.0,2,2,7.0,0.0,0.0,177.95825512,1.0,28.0,26.257970132
196,0,5100,72891.0,80691.0,2,6,1.0,1.0,0.0,273.88170516,0.0,6.0,39.852146515
197,1,5100,30755.0,46735.0,2,6,10.0,0.0,0.0,69.0,0.0,17.0,33.779915348721225
198,0,5100,73760.81719955898,26715.0,1,6,1.0,0.0,0.0,258.78929762,0.0,14.0,26.722343337
199,0,5100,87258.0,121382.0,2,2,6.0,0.0,0.0,181.66304016,0.0,28.0,25.444759149
200,0,5100,73760.81719955898,28291.0,1,6,2.0,0.0,0.0,277.94456081,1.0,14.0,23.644691283
201,1,5100,9900.0,30451.0,2,6,11.0,0.0,0.0,21.2,0.0,2.0,33.779915348721225
202,0,5100,93000.0,116875.0,2,6,10.0,0.2545696877380046,0.4494423791821561,417.63333333,2.0,50.0,33.779915348721225
203,1,5100,15500.0,34000.0,1,6,0.0,1.0,2.0,86.233333333,2.0,13.0,33.779915348721225
204,1,5100,129319.0,141875.0,2,1,7.0,1.0,0.0,157.85980209,0.0,36.0,25.650741224
205,0,5100,66834.0,87361.0,2,6,0.0,2.0,0.0,290.03410799,0.0,6.0,38.766985071
206,0,5100,73882.0,96031.0,1,6,0.0,0.0,0.0,125.78740011,1.0,10.0,34.446079222
207,0,5100,74071.0,97064.0,1,6,0.0,0.0,0.0,121.0759726,2.0,9.0,36.401729548
208,0,5100,62702.0,79784.0,2,6,2.0,0.0,0.0,108.07259081,0.0,15.0,43.290139816
209,0,5200,73760.81719955898,36425.0,1,6,2.0,0.0,0.0,266.81346457,1.0,14.0,23.797401058
210,0,5200,67000.0,77000.0,2,6,9.0,0.0,1.0,119.7,0.0,25.0,33.779915348721225
211,0,5200,43039.0,53521.0,2,4,11.0,0.2545696877380046,0.4494423791821561,184.29668729,1.1860550458715597,19.0,24.414763177
212,0,5200,19000.0,26000.0,1,6,0.0,1.0,0.0,17.2,10.0,7.0,33.779915348721225
213,1,5200,73760.81719955898,9500.0,1,6,1.0,0.0,1.0,81.1,1.0,2.0,33.779915348721225
214,0,5200,91250.0,110000.0,2,4,24.0,0.0,0.0,123.76666667,1.0,12.0,33.779915348721225
215,0,5200,16324.0,45187.0,2,3,8.922268135904508,0.0,0.0,221.11808171,0.0,11.0,42.712093844
216,1,5200,40564.0,39527.0,2,6,0.0,0.0,0.0,157.77103572,1.0,13.0,72.670433313
217,0,5300,73698.0,84427.0,1,0,4.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,19.131201179
218,0,5300,66987.0,65111.0,2,1,4.0,1.0,0.0,175.32870382,1.0,22.0,40.442570389
219,1,5300,26908.0,36078.0,2,6,8.922268135904508,0.0,0.0,302.35870946,0.0,8.0,39.196985402
220,0,5300,73760.81719955898,49396.0,2,0,0.0,0.0,0.0,179.76627518656667,0.0,0.0,12.043670576
221,0,5300,44993.0,50673.0,2,4,7.0,0.2545696877380046,0.4494423791821561,184.74276716,1.1860550458715597,18.0,27.906122726
222,1,5300,51000.0,64000.0,2,5,10.0,1.0,0.0,98.333333333,0.0,12.0,33.779915348721225
223,0,5300,75958.0,91703.0,1,6,0.0,0.0,0.0,124.1821788,1.0,10.0,34.599060194
224,0,5300,97132.0,117343.0,2,4,22.0,0.0,0.0,109.93390789,1.0,11.0,35.8385427
225,0,5300,60826.0,80826.0,2,5,10.0,0.2545696877380046,1.0,212.89174607,0.0,25.0,38.591494028
226,0,5300,83552.0,96809.0,1,2,0.0,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,28.423961906
227,0,5300,47449.0,63895.0,2,4,19.0,0.0,0.0,208.16271401,0.0,20.0,19.762113701
228,0,5300,50934.0,62957.0,2,4,21.0,0.0,0.0,197.24195728,0.0,20.0,19.350505633
229,0,5400,53429.0,64505.0,1,0,5.0,0.2545696877380046,0.0,69.542430107,1.1860550458715597,16.0,36.480236299
230,0,5400,73760.81719955898,65474.0,2,4,1.0,0.0,0.0,40.709849004,0.0,4.0,37.848771035
231,0,5400,47844.0,52040.0,2,4,8.0,0.2545696877380046,0.4494423791821561,189.03430464,1.1860550458715597,18.0,24.701136262
232,1,5400,45509.0,57453.0,1,1,4.0,0.0,0.0,95.6,0.0,22.0,33.779915348721225
233,1,5400,59720.0,63450.0,2,2,5.0,0.0,1.0,199.9,1.0,20.0,33.779915348721225
234,0,5400,86922.0,119846.0,2,2,5.0,0.0,0.0,185.07634726,1.0,28.0,26.354889295
235,0,5400,68625.0,82304.0,1,1,2.0,0.0,0.0,136.63294416,0.0,30.0,32.05002349
236,0,5400,65814.0,85848.0,2,6,4.0,0.0,0.0,122.9402886,0.0,15.0,44.092325682
237,0,5400,73760.81719955898,75254.0,0,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,23.163742947
238,1,5400,78300.0,88000.0,2,2,8.0,0.0,0.0,102.5,3.0,19.0,33.779915348721225
239,0,5400,48152.0,55760.0,1,0,6.0,0.2545696877380046,0.0,78.452125766,1.1860550458715597,16.0,35.763637997
240,0,5500,70481.0,82446.0,2,6,8.0,0.0,1.0,116.59197688,0.0,24.0,37.612682724
241,0,5500,73760.81719955898,35402.0,2,0,8.922268135904508,0.2545696877380046,0.4494423791821561,179.76627518656667,1.1860550458715597,21.29609620076682,35.272073735
